fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,18,MAHARASHTRA,1802,THANE,347891,284.052399,33,38,173.695051,3436,6,10874,411195,13279,3537,120637,33487,50.11315,1391.817463,12317,21302,29811,96805,520,139831,329528,14310,1168.009262,173837,94,55.05,1.02,101.39,NA
2024-2025,Dec,18,MAHARASHTRA,1807,DHULE,1791861,287.0176717,42,199,463.7575863,4735,16,23758,2053636,74713,16925,322135,73224,207.18665,6565.242469,48233,78443,98386,274929,4540,447948,942054,28493,5894.298233,792967,87,65.64,0.18,102.93,NA
2024-2025,Dec,18,MAHARASHTRA,1816,JALNA,4179031,285.6664911,43,335,4293.272369,2747,21,50470,4508663,116537,20298,20565,3155,506.84725,17679.85901,103678,186917,165794,441525,8193,486456,1089983,53217,12879.73939,1842647,75,48.92,0.63,101.13,NA
2024-2025,Dec,18,MAHARASHTRA,1823,AKOLA,1346413,284.52702,32,1906,568.2955461,6145,2,20030,1530703,233481,35931,76831,10326,190.32159,5113.880767,46684,67734,88348,202953,2530,292226,564648,26175,4355.263631,551269,89,39.8,3.97,107.55,NA
2024-2025,Dec,18,MAHARASHTRA,1825,YAVATMAL,4770192,297.1093107,38,640,3087.936719,15574,7,36747,4853766,249440,38559,528384,73350,638.89252,18147.81995,127585,188546,220911,495103,5930,682087,1393536,52321,14420.99071,1971001,91,47.99,21.08,99.69,NA
2024-2025,Dec,18,MAHARASHTRA,1828,BHANDARA,5320243,187.0353827,38,5379,3177.13412,11228,8,15474,5019284,583915,59317,346211,33219,409.98466,12974.95582,131684,215556,188149,452905,5966,287813,631405,26702,9387.837036,3107743,79,24.17,16.03,100.98,NA
2024-2025,Dec,18,MAHARASHTRA,1829,CHANDRAPUR,4716343,248.3084121,45,732,8109.48368,14168,9,26387,4806699,502918,63645,1059879,107629,541.02858,20585.95022,105910,184278,174501,499076,9293,383966,918919,40555,11935.43796,2452801,78,34.78,13.06,102.11,NA
2024-2025,Dec,18,MAHARASHTRA,1832,WASHIM,2367506,297.7718565,38,597,1133.262886,2808,2,23505,2287234,162190,20349,65540,7300,364.20168,8308.203711,60155,94863,85629,202847,2321,282618,561599,26313,6810.739145,910120,89,62.6,23.77,99.43,NA
2024-2025,Dec,18,MAHARASHTRA,1833,GONDIA,6219077,216.5941174,39,336,10641.62849,16687,15,27117,6176472,509797,52489,963904,90067,675.40661,24694.91012,156279,248856,237467,611411,7815,355518,840617,43804,13377.87502,3951104,77,24.44,11.64,101.87,NA
2024-2025,Nov,18,MAHARASHTRA,1807,DHULE,1773387,298.7802656,40,132,430.5176852,3176,16,31332,1855446,68071,16727,297762,72181,207.18665,6181.410821,45634,73649,96798,270540,3859,444964,937752,34508,5543.706486,708464,89,66.12,0.2,104.59,NA
2024-2025,Nov,18,MAHARASHTRA,1809,AHMEDNAGAR,1568259,307.8380493,33,134,1802.228233,5660,34,41548,1798958,98585,32581,59980,25159,273.06654,7613.171989,53502,89503,151432,437152,2940,770515,1908374,47208,5537.877215,732457,90,67.4,0.09,104.65,NA
2024-2025,Nov,18,MAHARASHTRA,1810,PUNE,370626,319.1066915,29,58,351.1103765,5336,250,20652,407788,20365,10211,48191,20934,77.84145,1730.230622,13815,21970,55412,146311,456,379766,816157,25988,1301.278795,146941,93,68.86,0.02,103.95,NA
2024-2025,Nov,18,MAHARASHTRA,1818,BEED,7329701,334.5418628,44,578,6605.158263,2920,64,77542,7729222,124927,15962,16139,1889,868.28779,33330.92931,172981,300142,265288,650020,16687,684696,1416554,80462,25857.48326,3194082,79,39.5,4.9,331.5,NA
2024-2025,Nov,18,MAHARASHTRA,1823,AKOLA,1332533,294.0030708,31,1843,495.9831355,5016,2,25471,1374062,210564,35577,69934,10122,188.49899,4724.2666,44181,63657,87148,200223,2181,291418,563038,30487,4039.784475,493094,91,39.15,4.45,109.2,NA
2024-2025,Nov,18,MAHARASHTRA,1802,THANE,344305,290.5941049,32,37,129.280578,3145,4,11230,372547,11682,3510,111431,33158,10.46202,1222.342218,11603,19967,29380,95416,438,139726,329324,14375,1082.59962,156756,94,52.57,1.17,102.81,NA
2024-2025,Nov,18,MAHARASHTRA,1808,JALGAON,1733191,296.0364934,34,143,1885.123489,6810,53,40661,1939724,91922,31371,138552,37086,275.66074,7903.075141,56382,85575,140491,345348,3435,673446,1271834,47471,5742.290911,750253,92,53.34,0.79,104.41,NA
2024-2025,Nov,18,MAHARASHTRA,1812,SANGLI,466842,293.7533609,30,40,528.7374488,3298,42,13962,516232,26375,7975,525,217,94.86164,2140.047939,16964,24304,47865,102202,271,317467,557025,17260,1516.44885,181137,86,44.41,0.15,101.07,NA
2024-2025,Nov,18,MAHARASHTRA,1817,PARBHANI,3359692,323.7120581,39,267,3549.635334,4336,37,38227,3267478,117084,20962,23999,2920,626.5678,14753.42341,82853,131242,144396,324619,5393,420450,809950,42563,10577.22028,1264659,90,57.55,0.11,109.18,NA
2024-2025,Nov,18,MAHARASHTRA,1818,BEED,7329701,334.530979,44,569,6605.158263,3054,64,77584,7798308,126600,15992,16225,1888,868.28779,33561.20215,173300,300662,265273,650156,17046,684830,1416805,80638,26087.7561,3223231,79,39.36,4.85,330.3,NA
2024-2025,Nov,18,MAHARASHTRA,1821,LATUR,4261434,300.9946014,50,212,7402.760635,8469,1,33526,4084571,367163,56017,40178,4227,555.79263,20252.89147,81350,130415,131895,330058,10218,396580,839701,41995,12294.3382,1616412,88,59.97,0.02,101.5,NA
2024-2025,Nov,18,MAHARASHTRA,1824,AMRAVATI,6203047,286.2524509,65,1020,12512.25168,12455,4,46560,6574886,634962,54188,2053946,137723,815.74175,32148.76575,100021,187609,191570,536577,20435,473906,1063722,59015,18820.77232,2704423,79,40.87,13.6,125.97,NA
